@relation 12168104L2_2

@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute rodzaj_źródła_dochodu numeric
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobierał_dochód numeric
@attribute okres_w_jakim_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
600,55,mężczyzna,16,588,0,417,48,0
600,69,kobieta,13,2291,0,66,48,0
500,54,kobieta,16,1045.6,0,7,48,0
300,65,mężczyzna,13,1253.51,0,58,48,179
281.29,53,kobieta,11,1700,0,200,48,0
200,47,kobieta,11,770,0,98,48,0
336.52,25,mężczyzna,12,1300,0,4,25,22
400,48,kobieta,12,1341,0,12,12,477
200,69,mężczyzna,13,870.5,0,49,48,354
500,54,mężczyzna,13,2800,0,145,48,40
500,37,mężczyzna,12,3000,0,2,10,1
300,50,mężczyzna,12,1000,0,38,48,0
200,78,kobieta,13,736,0,62,48,1764
800,55,kobieta,13,3440,0,46,48,4
637.02,32,mężczyzna,11,2050,0,113,48,1
200,79,kobieta,13,1442.43,0,136,48,0
400,54,kobieta,12,1700,0,50,48,0
700,65,mężczyzna,13,3040,0,196,48,7
400,70,kobieta,13,1291.18,0,74,48,0
700,58,kobieta,13,1872,0,30,48,3
400,66,kobieta,13,919,0,136,48,5
200,25,kobieta,17,1200,0,160,48,0
200,43,kobieta,11,1400,0,20,48,0
500,49,kobieta,11,1800,0,48,48,0
500,54,kobieta,16,1657,0,14,48,445
300,23,mężczyzna,11,1400,0,19,48,0
250,61,kobieta,13,634.64,0,7,48,0
700,38,kobieta,11,1900,0,202,48,11
200,65,kobieta,13,670,0,61,48,0
300,70,kobieta,13,729.03,0,252,48,0
900,54,mężczyzna,13,2600,0,111,48,11
200,66,kobieta,13,910,0,64,48,2
743.23,35,kobieta,98,4000,0,13,48,2
400,61,kobieta,13,1280,0,12,48,2
300,50,kobieta,17,990,0,67,48,0
300,52,kobieta,11,1400,0,156,48,6
400,52,kobieta,12,1040,0,12,19,2
300,43,mężczyzna,12,1463.56,0,0,12,2
600,51,mężczyzna,12,2673.17,0,107,48,3
300,65,kobieta,13,1125,0,120,48,3
500,59,kobieta,13,1400,0,49,48,0
200,52,mężczyzna,12,1000,0,7,39,4
300,44,mężczyzna,12,1963.88,0,1,5,0
500,64,mężczyzna,13,1530,0,30,48,2
300,53,mężczyzna,11,2080,0,313,48,0
300,68,kobieta,13,1017,0,156,48,0
